,name,id,lat,lon,capacity,closest_district
314,"Prince Albert Road, The Regent's Park",329,51.53589283,-0.160854428,24,Camden
315,"Eastbourne Mews, Paddington",330,51.51641749,-0.17913507899999997,34,Kensington and Chelsea
316,"Bunhill Row, Moorgate",331,51.52085887,-0.089887855,30,City of London
317,"Nevern Place, Earl's Court",332,51.49334336,-0.19475794899999999,20,Kensington and Chelsea
318,"Palace Gardens Terrace, Notting Hill",333,51.50860544,-0.193764092,37,Kensington and Chelsea
319,"Concert Hall Approach 1, South Bank",334,51.505044,-0.115851,10,Lambeth
320,"Tavistock Street, Covent Garden",335,51.51196803,-0.12071875900000001,33,Lambeth
321,"Concert Hall Approach 2, South Bank",336,51.504942,-0.115533,18,Lambeth
322,"Pembridge Villas, Notting Hill",337,51.51108452,-0.19752494399999998,16,Kensington and Chelsea
323,"Wellington Street , Strand",338,51.51175646,-0.119643424,24,Lambeth
324,"Risinghill Street, Angel",339,51.5333196,-0.11178119999999998,25,Islington
325,"Bank of England Museum, Bank",340,51.51444134,-0.087587447,16,City of London
326,"Craven Street, Strand",341,51.50810309,-0.12602103,23,Lambeth
327,"London Zoo Car Park, The Regent's Park",343,51.53692216,-0.150181444,36,Camden
328,"Goswell Road (City Uni), Finsbury",344,51.528246,-0.10102611,17,Islington
329,"Flood Street, Chelsea",345,51.48802358,-0.166878535,33,Westminster
330,"Lower Marsh, Waterloo",347,51.50013942,-0.113936001,17,Lambeth
331,"Grosvenor Square, Mayfair",348,51.51217033,-0.150481272,17,Westminster
332,"St. George Street, Mayfair",349,51.511959999999995,-0.142783033,18,Westminster
333,"Queen's Gate, Kensington Gardens",350,51.5017154373867,-0.1798541843891,21,Kensington and Chelsea
334,"Macclesfield Rd, St Lukes",351,51.529423,-0.097122,28,Islington
335,"Vauxhall Street, Vauxhall",352,51.486965000000005,-0.116625,19,Lambeth
336,"Greycoat Street , Westminster",353,51.49459148,-0.134234258,17,Westminster
337,"Northumberland Avenue, Strand",354,51.506766999999996,-0.12370199999999999,37,Lambeth
338,"Oval Way, Vauxhall",355,51.486575,-0.11728599999999999,21,Lambeth
339,"South Kensington Station, South Kensington",356,51.494412,-0.173881,15,Kensington and Chelsea
340,"Howland Street, Fitzrovia",357,51.520994,-0.139016,30,Camden
341,"High Holborn , Covent Garden",358,51.516226,-0.12482599999999999,20,Lambeth
342,"Butler Place, Westminster",359,51.49782999,-0.135440826,18,Westminster
343,"Howick Place, Westminster",360,51.49675303,-0.138733562,27,Westminster
344,"Waterloo Station 2, Waterloo",361,51.50391973,-0.11342629,55,Lambeth
345,"Royal College Street, Camden Town",362,51.536264,-0.133952,57,Camden
346,"Lord's, St. John's Wood",363,51.5291212008901,-0.171185284853,24,Camden
347,"Alfred Place, Bloomsbury",364,51.519656,-0.132339,41,Lambeth
348,"City Road, Angel",365,51.530344,-0.100168,47,Islington
349,"Millennium Hotel, Mayfair",366,51.5109192966489,-0.1511263847351,27,Westminster
350,"Harrowby Street, Marylebone",367,51.5173721,-0.1642075,16,Westminster
351,"Harriet Street, Knightsbridge",368,51.50024195,-0.15934065,25,Westminster
352,"Paddington Green, Paddington",370,51.520205,-0.174593,20,Kensington and Chelsea
353,"King Edward Walk, Waterloo",371,51.49775,-0.10987999999999999,22,Lambeth
354,"Sardinia Street, Holborn",372,51.515208,-0.11786300000000001,24,Lambeth
355,"Prince Consort Road, Knightsbridge",373,51.49980661,-0.176415994,18,Kensington and Chelsea
356,"Waterloo Station 1, Waterloo",374,51.50402794,-0.11386436,36,Lambeth
357,"Kensington Town Hall, Kensington",375,51.50194596,-0.19439295199999998,18,Kensington and Chelsea
358,"Millbank Tower, Pimlico",376,51.49188409,-0.125674815,24,Westminster
359,"Waterloo Bridge, South Bank",377,51.50535447,-0.11365654300000001,15,Lambeth
360,"Natural History Museum, South Kensington",378,51.49559291,-0.17907762600000002,42,Kensington and Chelsea
361,"Turquoise Island, Notting Hill",379,51.51431171,-0.200838199,21,Kensington and Chelsea
362,"Stanhope Gate, Mayfair",380,51.50686435,-0.150666888,21,Westminster
363,"Charlotte Street, Fitzrovia",381,51.51953043,-0.13577731,14,Lambeth
364,"Farm Street, Mayfair",382,51.50935171,-0.14744969,15,Westminster
365,"Frith Street, Soho",383,51.51310333,-0.13121385,18,Lambeth
